param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	1278	14	32	375
2	705	8	35	363
3	2334	26	59	418
4	1917	21	74	403
5	681	8	89	403
6	423	5	33	370
7	1653	18	48	370
8	1263	14	18	358
9	378	4	37	373
10	1038	12	13	351
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
;
param q_real:=2;
param	nth:=9;
param	nth1:=10;
param:	ARC:	D:=
1	10	45.250000
1	2	54.139999
1	7	61.380001
1	3	71.550003
1	5	85.779999
1	9	111.940002
1	4	116.980003
1	6	121.860001
1	8	122.739998
2	10	9.410000
2	7	22.870001
2	3	46.220001
2	1	54.509998
2	5	56.779999
2	9	58.279999
2	6	68.199997
2	4	74.980003
2	8	97.239998
3	2	46.419998
3	10	50.270000
3	8	54.790001
3	7	66.639999
3	9	67.099998
3	1	71.540001
3	6	74.120003
3	5	99.330002
3	4	108.349998
4	5	41.709999
4	9	51.330002
4	6	54.070000
4	7	57.099998
4	2	75.080002
4	10	80.180000
4	3	108.681000
4	1	116.790001
4	8	153.020996
5	7	34.320000
5	4	41.610001
5	2	56.400002
5	10	57.400002
5	9	67.459999
5	6	77.120003
5	1	85.760002
5	3	99.610001
5	8	153.139999
6	9	10.540000
6	4	54.180000
6	7	64.949997
6	2	68.639999
6	3	74.639999
6	5	77.160004
6	10	77.199997
6	8	106.430000
6	1	122.300003
7	2	22.760000
7	10	24.780001
7	5	34.500000
7	9	54.799999
7	4	57.150002
7	1	61.389999
7	6	64.720001
7	3	66.650002
7	8	120.180000
8	3	54.709999
8	2	97.720001
8	10	103.980003
8	6	106.650002
8	9	108.580002
8	7	120.089996
8	1	122.970001
8	4	151.169998
8	5	152.779999
9	6	10.420000
9	4	51.290001
9	7	54.970001
9	2	58.660000
9	10	67.220001
9	3	67.370003
9	5	67.459999
9	8	108.519997
9	1	112.320000
10	2	8.940000
10	7	24.750000
10	1	45.160000
10	3	50.650002
10	5	57.570000
10	9	66.739998
