param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	390	4	67	376
2	1299	14	53	373
3	972	11	57	400
4	2223	25	24	365
5	2463	27	61	399
6	390	4	56	378
7	2391	27	31	364
8	1074	12	13	349
9	2391	27	25	356
10	2421	27	83	440
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
3	10000	150	2.2384e-005	2.66374
;
param q_real:=2;
param	nth:=9;
param	nth1:=10;
param:	ARC:	D:=
1	2	42.049999
1	4	54.419998
1	9	58.419998
1	6	59.590000
1	8	71.419998
1	5	73.580002
1	10	78.110001
1	3	83.639999
1	7	95.300003
2	6	29.000000
2	9	39.310001
2	8	41.759998
2	1	41.950001
2	10	47.200001
2	5	50.080002
2	4	53.580002
2	7	60.500000
2	3	79.089996
3	4	31.600000
3	2	78.560997
3	1	83.330002
3	6	106.121002
3	9	112.519997
3	8	118.880997
3	10	124.320999
3	5	126.942001
3	7	130.750000
4	3	31.809999
4	2	53.480000
4	1	54.320000
4	6	81.040001
4	9	83.510002
4	8	93.320999
4	5	98.360001
4	10	99.239998
4	7	109.239998
5	8	14.210000
5	9	18.639999
5	10	19.370001
5	6	21.820000
5	7	44.500000
5	2	50.509998
5	1	72.489998
5	4	98.750000
5	3	127.402000
6	8	13.230000
6	9	16.110001
6	10	20.400000
6	5	21.379999
6	2	29.330000
6	7	44.240002
6	1	58.470001
6	4	81.410004
6	3	106.919998
7	10	26.740000
7	8	35.790001
7	6	44.209999
7	5	44.459999
7	9	54.220001
7	2	60.430000
7	1	95.220001
7	4	109.320000
7	3	131.229996
8	10	9.890000
8	6	13.600000
8	5	14.160000
8	9	21.430000
8	7	35.889999
8	2	42.049999
8	1	70.589996
8	4	94.129997
8	3	119.639999
9	6	16.830000
9	5	18.219999
9	8	20.860001
9	10	28.480000
9	2	40.119999
9	7	54.029999
9	1	57.689999
9	4	83.949997
9	3	113.169998
10	8	9.840000
10	5	19.070000
10	6	20.760000
10	7	26.870001
10	9	28.660000
10	2	47.320000
10	1	77.930000
10	4	99.400002
10	3	124.910004
0	2	9.330000
0	6	21.260000
0	9	30.709999
0	8	34.020000
0	10	39.459999
0	5	41.590000
0	1	43.180000
0	7	56.270000
0	4	61.410000
0	3	86.919998
2	0	9.300000
6	0	21.459999
9	0	31.469999
8	0	34.180000
10	0	39.450001
5	0	41.950001
1	0	43.090000
7	0	56.180000
4	0	61.340000
3	0	86.420998
;
param:	v:=
1	2	1	89
1	2	2	31
1	2	3	13
1	2	4	30
1	2	5	83
1	4	1	85
1	4	2	31
1	4	3	26
1	4	4	46
1	4	5	96
1	9	1	73
1	9	2	58
1	9	3	25
1	9	4	36
1	9	5	91
1	6	1	97
1	6	2	36
1	6	3	18
1	6	4	51
1	6	5	98
1	8	1	72
1	8	2	40
1	8	3	23
1	8	4	41
1	8	5	93
1	5	1	77
1	5	2	30
1	5	3	25
1	5	4	34
1	5	5	79
1	10	1	77
1	10	2	40
1	10	3	25
1	10	4	48
1	10	5	100
1	3	1	77
1	3	2	51
1	3	3	26
1	3	4	54
1	3	5	81
1	7	1	91
1	7	2	38
1	7	3	14
1	7	4	57
1	7	5	75
2	6	1	72
2	6	2	42
2	6	3	19
2	6	4	42
2	6	5	95
2	9	1	98
2	9	2	60
2	9	3	30
2	9	4	52
2	9	5	79
2	8	1	78
2	8	2	45
2	8	3	19
2	8	4	37
2	8	5	90
2	1	1	82
2	1	2	43
2	1	3	10
2	1	4	52
2	1	5	75
2	10	1	81
2	10	2	45
2	10	3	25
2	10	4	47
2	10	5	72
2	5	1	89
2	5	2	59
2	5	3	26
2	5	4	36
2	5	5	84
2	4	1	76
2	4	2	49
2	4	3	30
2	4	4	59
2	4	5	86
2	7	1	84
2	7	2	49
2	7	3	22
2	7	4	49
2	7	5	70
2	3	1	73
2	3	2	53
2	3	3	14
2	3	4	48
2	3	5	78
3	4	1	96
3	4	2	30
3	4	3	15
3	4	4	52
3	4	5	92
3	2	1	98
3	2	2	52
3	2	3	10
3	2	4	30
3	2	5	77
3	1	1	79
3	1	2	50
3	1	3	27
3	1	4	51
3	1	5	79
3	6	1	90
3	6	2	53
3	6	3	21
3	6	4	34
3	6	5	93
3	9	1	94
3	9	2	48
3	9	3	11
3	9	4	42
3	9	5	86
3	8	1	92
3	8	2	49
3	8	3	20
3	8	4	52
3	8	5	84
3	10	1	86
3	10	2	39
3	10	3	27
3	10	4	44
3	10	5	89
3	5	1	99
3	5	2	44
3	5	3	12
3	5	4	33
3	5	5	92
3	7	1	78
3	7	2	55
3	7	3	12
3	7	4	32
3	7	5	75
4	3	1	96
4	3	2	52
4	3	3	11
4	3	4	31
4	3	5	81
4	2	1	84
4	2	2	58
4	2	3	13
4	2	4	38
4	2	5	83
4	1	1	79
4	1	2	37
4	1	3	12
4	1	4	59
4	1	5	75
4	6	1	97
4	6	2	34
4	6	3	10
4	6	4	55
4	6	5	96
4	9	1	99
4	9	2	38
4	9	3	22
4	9	4	34
4	9	5	93
4	8	1	87
4	8	2	54
4	8	3	29
4	8	4	54
4	8	5	87
4	5	1	77
4	5	2	46
4	5	3	14
4	5	4	55
4	5	5	86
4	10	1	71
4	10	2	45
4	10	3	23
4	10	4	52
4	10	5	86
4	7	1	92
4	7	2	51
4	7	3	10
4	7	4	38
4	7	5	80
5	8	1	96
5	8	2	46
5	8	3	28
5	8	4	50
5	8	5	90
5	9	1	97
5	9	2	36
5	9	3	26
5	9	4	32
5	9	5	96
5	10	1	72
5	10	2	59
5	10	3	19
5	10	4	41
5	10	5	71
5	6	1	88
5	6	2	54
5	6	3	14
5	6	4	35
5	6	5	99
5	7	1	98
5	7	2	35
5	7	3	14
5	7	4	50
5	7	5	90
5	2	1	97
5	2	2	55
5	2	3	20
5	2	4	46
5	2	5	80
5	1	1	76
5	1	2	51
5	1	3	16
5	1	4	59
5	1	5	84
5	4	1	73
5	4	2	34
5	4	3	20
5	4	4	58
5	4	5	85
5	3	1	83
5	3	2	60
5	3	3	21
5	3	4	50
5	3	5	96
6	8	1	78
