param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	1722	19	68	405
2	741	8	76	391
3	1320	15	72	399
4	2157	24	84	410
5	354	4	56	370
6	1317	15	40	356
7	1383	15	11	339
8	1440	16	85	415
9	2433	27	28	382
10	1272	14	36	382
11	2442	27	58	388
12	444	5	26	353
13	582	6	37	347
14	2160	24	51	405
15	1986	22	46	391
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
3	10000	150	2.2384e-005	2.66374
;
param q_real:=3;
param	nth:=14;
param	nth1:=15;
param:	ARC:	D:=
1	3	29.830000
1	2	36.099998
1	15	44.369999
1	12	48.000000
1	10	54.000000
1	5	57.740002
1	8	65.000000
1	14	70.180000
1	13	72.099998
1	9	78.739998
1	4	84.339996
1	6	93.949997
1	7	113.370003
1	11	117.500000
2	12	33.480000
2	1	36.070000
2	15	41.160000
2	5	46.660000
2	8	50.520000
2	3	52.959999
2	13	57.580002
2	9	64.220001
2	10	64.820000
2	4	69.889999
2	14	70.239998
2	6	79.430000
2	11	82.440002
2	7	87.290001
3	1	29.700001
3	10	32.630001
3	15	37.070000
3	5	50.349998
3	14	50.549999
3	2	52.340000
3	12	54.209999
3	8	60.310001
3	13	72.750000
3	9	78.360001
3	4	78.370003
3	6	94.599998
3	7	112.330002
3	11	130.210007
4	9	13.290000
4	13	15.440000
4	8	20.150000
4	5	29.270000
4	6	36.580002
4	12	37.040001
4	15	42.200001
4	7	56.810001
4	10	57.709999
4	14	60.400002
4	2	69.900002
4	3	78.389999
4	11	79.190002
4	1	85.411003
5	8	11.210000
5	15	14.130000
5	12	14.400000
5	13	24.639999
5	9	29.260000
5	4	29.270000
5	10	34.950001
5	14	37.639999
5	2	46.650002
5	6	47.299999
5	3	50.320000
5	1	57.759998
5	7	65.040001
5	11	87.419998
6	13	23.200001
6	9	27.290001
6	4	36.439999
6	8	37.610001
6	12	46.790001
6	5	47.520000
6	7	53.290001
6	15	58.779999
6	11	78.220001
6	10	79.110001
6	2	79.650002
6	14	81.800003
6	3	94.970001
6	1	95.919998
7	13	41.970001
7	11	42.450001
7	9	47.759998
7	6	52.990002
7	4	56.220001
7	8	56.380001
7	12	63.889999
7	5	64.620003
7	15	75.849998
7	2	86.779999
7	10	97.879997
7	14	100.570000
7	3	112.559998
7	1	113.990997
8	5	11.220000
8	13	14.740000
8	12	17.680000
8	9	19.389999
8	4	20.160000
8	15	24.150000
8	6	37.400002
8	10	42.459999
8	14	45.150002
8	2	50.540001
8	7	56.700001
8	3	60.340000
8	1	66.081001
8	11	79.080002
9	13	8.080000
9	4	13.300000
9	8	19.389999
9	6	27.360001
9	5	29.270000
