param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	330	4	11	316
2	1155	13	15	351
3	2034	23	18	371
4	2385	26	56	394
5	2379	26	51	398
6	303	3	53	364
7	2244	25	15	351
8	1047	12	13	328
9	1983	22	49	385
10	1980	22	63	395
11	1065	12	37	366
12	2412	27	37	372
13	1860	21	77	413
14	2100	23	68	400
15	306	3	80	392
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
3	10000	150	2.2384e-005	2.66374
4	15000	200	1.79961e-005	2.66374
;
param q_real:=3;
param	nth:=14;
param	nth1:=15;
param:	ARC:	D:=
1	4	12.900000
1	12	26.389999
1	6	28.170000
1	11	37.570000
1	14	38.540001
1	8	39.020000
1	10	48.650002
1	5	54.490002
1	3	54.630001
1	2	56.759998
1	7	56.980000
1	15	60.610001
1	9	68.699997
1	13	108.279999
2	15	4.460000
2	8	24.160000
2	3	43.750000
2	12	51.310001
2	4	51.490002
2	11	52.290001
2	1	56.919998
2	6	60.639999
2	10	61.270000
2	7	68.120003
2	14	70.010002
2	9	79.610001
2	5	85.959999
2	13	116.209999
3	2	43.830002
3	15	44.841000
3	8	51.459999
3	1	54.080002
3	4	59.660999
3	12	65.879997
3	11	68.580002
3	6	74.430000
3	10	79.050003
3	14	84.139999
3	13	85.690002
3	7	87.379997
3	9	99.099998
3	5	100.529999
4	1	12.760000
4	12	14.580000
4	6	17.469999
4	11	25.870001
4	14	27.870001
4	8	30.459999
4	10	36.950001
4	5	43.820000
4	7	45.279999
4	2	50.299999
4	15	54.470001
4	9	57.000000
4	3	59.779999
4	13	118.450996
5	14	16.570000
5	6	28.490000
5	10	31.670000
5	12	36.869999
5	7	38.939999
5	11	39.110001
5	9	40.270000
5	4	44.200001
5	1	54.340000
5	8	64.120003
5	2	85.339996
5	15	89.510002
5	3	100.260002
5	13	164.960007
6	12	11.960000
6	14	12.580000
6	4	18.000000
6	11	21.650000
6	1	28.040001
6	5	28.530001
6	10	31.410000
6	8	38.830002
6	7	39.020000
6	9	46.570000
6	2	60.049999
6	15	64.220001
6	3	74.000000
6	13	135.809998
7	10	11.600000
7	9	14.580000
7	11	20.059999
7	12	32.910000
7	14	33.250000
7	6	38.990002
7	5	39.180000
7	4	45.669998
7	8	48.099998
7	1	56.950001
7	2	69.010002
7	15	73.180000
7	3	87.160004
7	13	157.380005
8	2	23.930000
8	15	28.100000
8	12	29.840000
8	4	31.100000
8	11	31.350000
8	1	38.889999
8	6	39.169998
8	10	40.970001
8	7	47.820000
8	14	48.540001
8	3	52.200001
8	9	59.310001
8	5	64.239998
8	13	118.279999
9	7	13.870000
9	10	22.610001
9	11	31.070000
9	14	37.730000
9	5	40.020000
9	12	43.919998
9	6	46.639999
9	4	56.680000
9	8	58.660000
9	1	67.959999
9	2	79.570000
9	15	83.739998
9	3	98.169998
9	13	170.119995
10	7	11.820000
10	11	12.360000
10	9	22.280001
10	12	25.209999
10	14	25.719999
10	6	31.330000
10	5	31.969999
10	4	37.970001
10	8	41.340000
10	1	49.250000
10	2	62.250000
10	15	66.419998
10	3	79.459999
10	13	148.630005
11	10	12.070000
11	12	13.610000
11	7	20.400000
11	6	21.260000
11	4	26.370001
11	14	28.430000
11	8	31.020000
11	9	32.119999
11	1	37.650002
11	5	39.240002
11	2	52.939999
11	15	57.110001
11	3	68.330002
11	13	132.449997
12	6	11.890000
