param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	2289	25	65	415
2	1896	21	34	382
3	1755	19	18	371
4	2208	25	66	410
5	1128	13	69	411
6	2100	23	59	398
7	1416	16	74	423
8	1896	21	50	393
9	567	6	64	372
10	600	7	36	358
11	2247	25	17	359
12	1227	14	31	373
13	1137	13	60	381
14	1524	17	37	358
15	1947	22	81	405
16	2187	24	12	346
17	1326	15	35	364
18	1077	12	40	366
19	2340	26	50	398
20	1905	21	65	386
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
3	10000	150	2.2384e-005	2.66374
4	15000	200	1.79961e-005	2.66374
5	10000	150	2.2384e-005	2.66374
;
param q_real:=4;
param	nth:=19;
param	nth1:=20;
param:	ARC:	D:=
1	4	10.030000
1	17	15.360000
1	13	27.969999
1	14	29.309999
1	9	36.770000
1	6	51.209999
1	12	55.549999
1	5	56.020000
1	18	62.050999
1	11	69.180000
1	10	69.379997
1	8	77.949997
1	15	82.730003
1	20	85.620003
1	3	86.720001
1	16	111.790001
1	2	133.690994
1	19	137.570999
1	7	140.490997
2	20	58.071999
2	11	64.880997
2	3	72.920998
2	10	81.960999
2	8	90.862000
2	15	100.091003
2	16	108.740997
2	12	114.584000
2	4	134.160995
2	18	134.324997
2	1	135.421005
2	17	138.171005
2	13	150.781006
2	14	164.921005
2	9	166.011002
2	6	170.160995
2	5	175.960999
2	19	178.781998
2	7	181.701996
3	8	20.270000
3	20	22.030001
3	15	28.719999
3	11	34.080002
3	16	44.779999
3	10	46.049999
3	12	53.910000
3	18	72.730003
3	2	73.471001
3	4	85.510002
3	1	87.220001
3	17	91.769997
3	13	100.910004
3	14	116.529999
3	9	119.260002
3	6	123.669998
3	5	128.869995
3	19	139.410995
3	7	142.330994
4	1	10.380000
4	13	24.110001
4	17	24.709999
4	14	39.689999
4	9	47.150002
4	12	50.009998
4	18	54.771000
4	6	61.439999
4	5	66.400002
4	11	68.300003
4	10	69.529999
4	8	74.480003
4	15	79.260002
4	20	84.739998
4	3	85.599998
4	16	106.250000
4	2	132.811005
4	19	141.701004
4	7	144.621002
5	6	6.540000
5	9	24.889999
5	14	42.680000
5	17	43.349998
5	1	56.049999
5	4	66.080002
5	13	78.029999
5	10	101.129997
5	12	105.459999
5	11	108.919998
5	18	118.100998
5	19	120.389999
5	8	121.919998
5	20	125.879997
5	15	127.300003
5	3	128.350006
5	7	134.179993
5	16	157.479996
5	2	173.550995
6	5	6.610000
6	9	22.370001
