param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	1551	17	66	414
2	2304	26	16	342
3	624	7	31	365
4	2442	27	14	343
5	882	10	75	386
6	951	11	23	335
7	339	4	55	386
8	1509	17	13	348
9	1788	20	80	431
10	2124	24	36	384
11	1491	17	17	347
12	333	4	20	343
13	633	7	88	422
14	1992	22	38	390
15	2325	26	71	425
16	1527	17	57	389
17	474	5	66	404
18	870	10	66	384
19	336	4	66	376
20	1917	21	51	377
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
3	10000	150	2.2384e-005	2.66374
4	15000	200	1.79961e-005	2.66374
;
param q_real:=4;
param	nth:=19;
param	nth1:=20;
param:	ARC:	D:=
1	14	19.120001
1	15	24.930000
1	2	31.160000
1	9	34.360001
1	19	42.889999
1	10	56.090000
1	16	61.130001
1	17	69.040001
1	13	70.139999
1	11	72.040001
1	6	73.510002
1	18	85.250000
1	20	90.570000
1	5	92.519997
1	3	95.129997
1	4	96.650002
1	8	98.989998
1	12	99.180000
1	7	99.699997
2	15	6.630000
2	14	14.110000
2	19	15.260000
2	9	20.830000
2	10	31.690001
2	1	32.240002
2	16	34.580002
2	17	40.250000
2	13	41.349998
2	6	44.720001
2	11	48.849998
2	18	56.459999
2	20	61.779999
2	5	63.730000
2	3	66.339996
2	4	67.860001
2	8	70.199997
2	7	70.279999
2	12	70.389999
3	5	3.190000
3	4	17.559999
3	12	19.650000
3	6	29.240000
3	20	30.740000
3	8	34.740002
3	17	37.020000
3	13	38.099998
3	16	38.919998
3	18	39.250000
3	10	45.660000
3	19	53.360001
3	11	55.169998
3	7	57.639999
3	9	66.410004
3	2	66.940002
3	15	72.419998
3	14	76.919998
3	1	95.680000
4	12	5.690000
4	5	15.260000
4	20	15.620000
4	3	18.200001
4	8	19.440001
4	18	24.129999
4	6	30.680000
4	17	38.459999
4	13	39.540001
4	16	40.360001
4	7	42.520000
4	10	47.099998
4	19	54.799999
4	11	56.610001
4	9	67.849998
4	2	68.379997
4	15	73.860001
4	14	78.360001
4	1	97.120003
5	3	3.610000
