param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	840	9	78	417
2	369	4	19	330
3	732	8	18	337
4	1647	18	84	408
5	1632	18	86	434
6	990	11	53	391
7	699	8	56	393
8	1311	15	36	369
9	987	11	86	422
10	1521	17	28	354
11	1440	16	50	383
12	471	5	82	406
13	324	4	42	359
14	2241	25	79	424
15	1326	15	83	426
16	2346	26	63	407
17	555	6	27	350
18	2337	26	15	370
19	876	10	20	341
20	1971	22	12	363
21	894	10	65	390
22	2448	27	26	387
23	714	8	63	376
24	1419	16	30	359
25	1263	14	43	383
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
3	10000	150	2.2384e-005	2.66374
4	15000	200	1.79961e-005	2.66374
5	10000	150	2.2384e-005	2.66374
6	15000	200	1.79961e-005	2.66374
;
param q_real:=5;
param	nth:=20;
param	nth1:=25;
param:	ARC:	D:=
1	16	13.890000
1	20	30.820000
1	22	37.700001
1	11	52.240002
1	18	53.220001
1	23	61.439999
1	17	62.861000
1	5	64.440002
1	2	66.559998
1	25	68.221001
1	9	69.809998
1	13	80.559998
1	15	81.050003
1	3	82.839996
1	14	84.599998
1	10	85.801003
1	7	91.239998
1	24	97.919998
1	12	126.800003
1	8	130.779999
2	9	3.780000
2	17	10.480000
2	13	15.040000
2	25	27.610001
2	7	28.030001
2	22	29.480000
2	10	38.951000
2	18	39.689999
2	24	40.820000
2	23	44.400002
2	14	44.910000
2	15	55.490002
2	16	60.259998
2	1	66.680000
2	5	68.169998
2	6	73.110001
2	11	75.480003
2	21	79.260002
2	20	92.790001
2	4	109.199997
3	11	53.680000
3	20	60.910000
3	5	72.239998
3	1	82.529999
3	23	92.410004
3	16	95.470001
3	12	96.019997
3	15	102.660004
3	8	103.760002
3	22	108.760002
3	25	108.930000
3	17	118.779999
3	10	119.849998
3	9	130.160995
3	18	131.070007
3	2	131.360992
3	13	143.270996
3	4	151.529999
3	7	153.261002
3	14	160.979996
4	19	12.510000
4	21	51.939999
4	8	57.520000
4	12	69.230003
4	15	69.330002
4	10	74.720001
4	23	88.529999
4	25	89.349998
4	5	97.320000
4	17	104.010002
4	9	106.730003
4	2	109.050003
4	13	109.610001
4	7	112.199997
4	11	113.559998
4	22	122.779999
4	24	127.230003
4	6	128.300995
4	14	143.830002
4	18	144.050003
5	11	19.930000
5	23	28.170000
5	15	35.290001
5	25	47.991001
5	10	53.009998
5	17	58.351002
5	22	60.560001
5	1	64.440002
5	9	67.000999
5	2	68.200996
5	20	68.449997
5	12	68.639999
5	8	69.820000
5	3	71.910004
5	16	77.550003
5	13	80.111000
5	18	89.160004
5	7	90.100998
5	4	97.099998
5	21	101.510002
6	7	47.441002
6	24	47.529999
6	13	59.901001
6	9	70.699997
6	14	71.970001
6	2	72.760002
6	21	77.161003
6	10	77.370003
6	17	78.099998
6	25	80.239998
6	18	94.640999
6	23	99.739998
6	15	101.190002
6	22	101.599998
6	19	116.640999
6	5	125.841003
6	16	127.371002
6	4	128.671005
6	11	136.561005
6	1	137.690994
7	13	13.370000
7	24	18.600000
7	9	26.709999
7	2	28.110001
7	17	35.950001
7	14	36.180000
7	6	47.491001
7	25	48.130001
7	18	48.189999
7	10	50.570000
7	22	55.639999
7	23	66.839996
7	21	71.769997
7	15	72.820000
7	16	79.559998
7	5	90.471001
7	1	90.699997
7	11	101.191002
7	19	106.440002
7	4	112.330002
8	12	18.190001
8	4	58.259998
8	15	62.189999
8	19	68.349998
8	5	69.860001
8	11	80.250999
8	23	80.910004
8	10	85.769997
8	25	90.650002
8	21	96.610001
8	3	103.889999
8	17	105.910004
8	9	113.669998
8	2	115.760002
8	22	121.080002
8	13	125.980003
8	20	130.391006
8	1	130.820999
8	7	132.860001
8	16	143.841003
9	2	3.020000
9	17	9.950000
9	13	14.780000
9	25	25.180000
9	7	27.180000
9	22	31.950001
9	10	36.099998
9	24	40.790001
9	18	42.200001
9	23	43.889999
9	14	44.880001
9	15	53.240002
9	16	62.849998
9	5	66.990997
9	1	69.150002
9	6	71.349998
9	11	75.099998
9	21	77.160004
9	20	95.260002
9	4	107.099998
10	25	19.219999
10	15	25.629999
10	23	29.680000
10	17	33.549999
10	9	36.459999
10	2	39.180000
10	13	45.130001
10	7	51.000000
10	5	53.009998
10	22	55.459999
10	21	56.029999
10	11	66.879997
10	24	67.470001
10	4	74.589996
10	18	75.440002
10	6	77.480003
10	14	78.900002
10	19	78.970001
10	1	85.611000
10	8	85.790001
11	5	21.049999
11	23	41.220001
11	20	51.220001
11	1	51.650002
11	3	53.509998
11	15	53.509998
11	25	57.650002
11	22	59.369999
11	16	64.669998
11	17	67.500000
11	10	68.570000
11	12	75.860001
11	9	76.519997
11	2	77.180000
11	8	79.839996
11	18	87.650002
11	13	89.629997
11	7	101.370003
11	14	111.089996
11	4	113.610001
12	8	18.389999
12	5	68.449997
12	4	69.790001
12	15	69.959999
12	11	75.880997
12	19	79.879997
12	23	83.330002
12	10	93.540001
12	3	97.169998
12	25	98.419998
12	21	108.139999
12	17	113.680000
12	9	121.440002
12	22	123.500000
12	2	123.529999
12	20	126.021004
12	1	126.450996
12	13	133.750000
12	16	139.470993
12	7	140.630005
13	7	13.280000
13	9	14.300000
13	2	15.030000
13	17	22.870001
13	24	27.969999
13	14	34.490002
13	25	38.139999
13	18	39.860001
13	22	43.560001
13	10	45.119999
13	23	56.849998
13	6	59.181000
13	15	65.489998
13	16	69.830002
13	21	73.910004
13	5	79.950996
13	1	80.760002
13	11	88.059998
13	20	106.870003
13	19	108.010002
14	24	26.250000
14	18	32.639999
14	13	34.470001
14	7	36.299999
14	9	44.529999
14	2	44.709999
14	22	52.580002
14	17	52.759998
14	25	69.410004
14	6	72.059998
14	16	73.040001
14	10	78.879997
14	1	84.180000
14	23	84.680000
14	15	97.470001
14	5	105.709999
14	21	106.529999
14	11	110.730003
14	20	114.360001
14	19	141.199997
15	23	23.000000
15	10	25.590000
15	25	30.500000
15	5	35.160000
15	17	45.759998
15	11	52.209999
15	9	53.520000
15	2	55.610001
15	22	61.540001
15	8	62.480000
15	13	65.830002
15	21	67.870003
15	4	69.410004
15	12	70.620003
15	7	72.709999
15	19	74.139999
15	1	82.250000
15	18	85.709999
15	24	89.019997
15	16	90.639999
16	1	13.770000
16	22	34.330002
16	18	42.000000
16	20	44.349998
16	17	60.000000
16	2	60.209999
16	9	63.509998
16	11	65.129997
16	23	68.820000
16	13	69.739998
16	25	69.879997
16	14	73.379997
16	5	77.330002
16	7	80.019997
16	24	86.699997
16	10	87.320000
16	15	89.519997
16	3	95.300003
16	6	126.191002
16	21	136.889999
17	2	10.680000
17	9	10.910000
17	25	18.020000
17	13	23.020000
17	22	28.400000
17	10	33.470001
17	23	34.959999
17	7	36.009998
17	18	42.849998
17	15	45.660000
17	24	48.799999
17	14	52.889999
17	5	58.401001
17	16	60.160000
17	1	62.870998
17	11	66.040001
17	21	77.629997
17	6	77.980003
17	20	88.981003
17	4	103.779999
18	22	30.620001
18	14	32.900002
18	2	39.330002
18	13	40.080002
18	16	42.009998
18	9	42.029999
18	17	42.730000
18	7	48.119999
18	24	50.580002
18	1	53.150002
18	25	58.209999
18	23	68.699997
18	10	75.530998
18	20	83.730003
18	15	85.849998
18	11	87.559998
18	5	88.949997
18	6	94.060997
18	21	112.029999
18	3	131.160004
19	4	12.420000
19	21	41.040001
19	8	68.120003
19	15	73.870003
19	10	79.260002
19	12	79.830002
19	23	93.070000
19	25	93.889999
19	5	104.580002
19	17	106.529999
19	7	106.760002
