param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	1443	16	76	415
2	1626	18	82	428
3	645	7	19	336
4	1701	19	49	374
5	792	9	15	347
6	564	6	37	357
7	1758	20	54	390
8	930	10	51	388
9	1656	18	80	423
10	2382	26	37	369
11	1287	14	28	361
12	1590	18	40	387
13	678	8	39	370
14	768	9	77	415
15	2361	26	67	401
16	576	6	60	374
17	1251	14	79	411
18	1902	21	44	377
19	1512	17	75	401
20	1965	22	48	398
21	1791	20	32	365
22	1089	12	54	381
23	2148	24	57	384
24	1116	12	56	398
25	1683	19	87	425
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
3	10000	150	2.2384e-005	2.66374
4	15000	200	1.79961e-005	2.66374
5	10000	150	2.2384e-005	2.66374
;
param q_real:=5;
param	nth:=20;
param	nth1:=25;
param:	ARC:	D:=
1	12	30.070000
1	3	32.279999
1	2	53.340000
1	16	59.910000
1	25	68.389999
1	11	70.320000
1	6	76.169998
1	20	77.389999
1	21	79.730003
1	18	79.879997
1	15	80.480003
1	9	83.910004
1	23	86.940002
1	24	89.500000
1	10	90.410004
1	22	97.099998
1	5	99.400002
1	4	110.290001
1	8	112.070000
1	14	116.279999
2	3	28.219999
2	21	34.500000
2	12	37.799999
2	1	53.410000
2	22	54.700001
2	18	57.700001
2	5	63.860001
2	6	71.050003
2	4	71.790001
2	7	79.180000
2	23	84.660004
2	25	86.230003
2	8	87.489998
2	13	88.980003
2	15	89.410004
2	17	96.080002
2	16	99.040001
2	14	100.300003
2	19	100.709999
2	9	100.959999
3	2	28.160000
3	1	32.259998
3	12	37.669998
3	21	48.570000
3	18	51.279999
3	25	60.889999
3	6	63.439999
3	22	65.940002
3	16	71.349998
3	15	72.980003
3	23	74.209999
3	9	78.760002
3	4	79.129997
3	11	81.760002
3	8	83.470001
3	5	88.730003
3	24	91.250000
3	14	93.879997
3	13	94.120003
3	20	98.860001
4	22	17.870001
4	13	18.900000
4	8	25.059999
4	17	26.000000
4	18	33.369999
4	21	38.500000
4	19	45.369999
4	14	46.380001
4	6	57.720001
4	23	60.500000
4	7	64.800003
4	2	71.489998
4	15	75.820000
4	3	79.419998
4	25	81.290001
4	9	87.370003
4	24	106.029999
4	12	109.010002
4	1	110.470001
4	16	112.209999
5	2	63.910000
5	12	72.669998
5	21	78.870003
5	7	79.910004
5	3	88.879997
5	22	96.000000
5	1	99.419998
5	18	109.290001
5	4	114.559998
5	6	128.100006
5	19	128.701004
5	13	131.750000
5	8	133.169998
5	17	138.850006
5	23	141.710007
5	25	143.270004
5	15	147.320007
5	14	151.119995
5	16	154.830002
5	9	158.869995
6	23	15.800000
6	25	25.680000
6	15	25.700001
6	18	25.920000
6	9	37.250000
6	14	44.080002
6	8	46.000000
6	21	53.500000
6	24	55.910000
6	22	56.389999
6	4	57.750000
6	16	58.720001
6	13	60.290001
6	3	63.500000
6	11	64.550003
6	2	71.529999
6	17	72.010002
6	1	76.129997
6	20	86.230003
6	10	89.199997
7	19	54.270000
7	21	54.680000
7	22	56.590000
7	4	65.589996
7	17	73.790001
7	13	79.330002
7	2	79.629997
7	5	80.000000
7	18	85.769997
7	8	87.650002
7	3	102.620003
7	14	106.839996
7	6	107.470001
7	12	114.209999
7	23	120.379997
7	25	125.400002
7	15	128.589996
7	1	131.089996
7	9	140.139999
7	16	148.610001
8	13	17.150000
8	14	22.309999
8	4	25.299999
8	17	28.410000
8	18	33.441002
8	22	39.439999
8	23	44.910000
8	6	45.889999
8	21	54.709999
8	15	60.330002
8	19	61.950001
8	25	67.400002
8	9	70.391998
8	3	84.181000
8	7	86.889999
8	2	87.559998
8	24	90.152000
8	16	98.529999
8	11	104.360001
8	1	111.850998
9	15	12.120000
9	25	19.389999
9	24	20.240000
9	23	28.150000
9	6	37.180000
9	11	38.020000
9	16	42.660000
9	14	55.919998
9	10	61.169998
9	20	61.570000
9	18	61.750000
9	8	70.471001
9	3	78.739998
9	13	82.851997
9	1	83.940002
9	21	85.809998
9	4	87.120003
9	22	92.220001
9	17	93.882004
9	2	101.019997
10	20	13.310000
10	11	25.940001
10	16	35.770000
10	24	40.880001
10	9	60.980000
10	25	63.930000
10	15	70.480003
10	23	86.669998
10	6	89.070000
10	1	90.629997
10	3	106.989998
10	18	112.970001
10	14	115.959999
10	12	120.239998
10	21	129.360001
10	8	129.529999
10	2	135.020004
10	22	137.199997
10	13	142.891998
10	4	143.729996
11	16	10.490000
11	20	24.780001
11	10	25.889999
11	24	27.730000
11	9	37.400002
11	25	38.669998
11	15	45.630001
11	23	61.759998
11	6	63.810001
11	1	70.320000
11	3	81.709999
11	18	87.709999
11	14	92.739998
11	12	101.330002
11	21	104.099998
11	8	104.269997
11	2	109.760002
11	22	111.940002
11	4	118.470001
11	13	118.559998
12	1	30.379999
12	3	37.619999
12	2	37.910000
12	21	72.070000
12	5	72.279999
12	18	87.820000
12	25	89.959999
12	16	90.290001
12	22	92.269997
12	6	92.519997
12	11	101.629997
12	23	103.290001
12	15	103.989998
12	20	107.300003
12	4	109.360001
12	9	109.769997
12	7	114.129997
12	24	117.660004
12	8	120.010002
12	10	120.320000
13	17	11.720000
13	8	17.570000
13	4	19.330000
13	14	32.730000
13	22	35.590000
13	19	44.799999
13	18	44.889999
13	21	56.220001
13	23	59.942001
13	6	60.310001
13	15	75.362000
13	7	78.320000
13	25	81.830002
13	9	82.983002
13	2	89.209999
13	3	94.839996
13	24	102.742996
13	16	112.949997
13	11	118.779999
13	1	123.300003
14	8	22.020000
14	13	32.779999
14	23	33.919998
14	17	41.630001
14	18	43.881001
14	6	44.549999
14	4	46.369999
14	15	49.340000
14	9	55.791000
14	22	58.250000
14	25	59.139999
14	21	72.510002
14	24	75.551003
14	19	75.820999
14	16	89.150002
14	11	93.331001
14	3	94.621002
14	2	100.390999
14	7	105.699997
14	10	116.041000
15	9	12.120000
15	25	14.420000
15	23	16.389999
15	6	25.940001
15	24	30.780001
15	16	44.430000
15	11	46.270000
15	14	49.340000
15	18	50.509998
15	8	60.470001
15	20	70.089996
15	10	70.610001
15	3	72.919998
15	21	74.690002
15	13	75.111000
15	4	75.879997
15	1	80.459999
15	22	80.980003
15	17	86.140999
15	2	89.900002
16	11	10.480000
16	20	27.750000
16	25	33.450001
16	10	35.930000
16	24	36.340000
16	9	42.650002
16	15	44.689999
16	23	56.540001
16	6	58.590000
16	1	59.910000
16	3	71.300003
16	18	80.459999
16	14	89.489998
16	12	89.989998
16	21	94.580002
16	2	98.930000
16	8	99.050003
16	22	102.419998
16	4	112.290001
16	13	113.339996
17	13	11.880000
17	4	26.020000
17	8	28.580000
17	19	35.480000
17	14	41.560001
17	22	42.279999
17	18	53.570000
17	21	62.910000
17	23	70.842003
17	6	71.980003
17	7	72.989998
17	15	86.262001
17	25	93.489998
17	9	93.883003
17	2	95.900002
17	3	102.019997
17	24	113.642998
17	16	124.620003
17	11	130.449997
17	1	131.979996
18	6	25.889999
18	21	31.889999
18	4	33.150002
18	8	33.509998
18	22	34.509998
18	23	38.310001
18	14	43.919998
18	13	44.639999
18	25	49.470001
18	15	50.279999
18	3	52.060001
18	17	53.570000
18	2	57.830002
18	9	61.830002
18	19	75.430000
18	1	80.199997
18	24	80.489998
18	16	80.629997
18	7	85.769997
18	11	88.339996
19	17	35.200001
19	13	44.840000
19	4	45.110001
19	22	48.250000
19	7	53.770000
19	8	61.790001
19	21	67.650002
19	18	75.559998
19	14	75.750000
19	6	99.910004
19	2	100.639999
19	23	101.599998
19	3	112.959999
19	15	116.919998
19	25	123.019997
19	9	127.553001
19	5	128.932007
19	12	138.160004
19	1	144.009995
19	24	147.130005
20	10	13.340000
20	11	25.000000
20	16	27.750000
20	24	43.349998
20	25	60.959999
20	9	61.540001
20	15	69.949997
20	1	77.580002
20	23	84.050003
20	6	86.099998
20	3	98.809998
20	12	107.190002
20	18	107.970001
20	14	116.879997
20	21	122.089996
20	8	126.559998
20	2	127.750000
20	22	129.929993
20	4	139.800003
20	13	140.850006
21	22	21.820000
21	18	31.770000
21	2	34.500000
21	4	38.910000
21	3	48.619999
21	6	53.470001
21	7	54.560001
21	8	54.680000
21	13	56.099998
21	17	63.200001
21	23	66.379997
21	19	67.830002
21	25	71.400002
21	12	72.019997
21	14	72.510002
21	15	74.589996
21	5	78.720001
21	1	79.669998
21	9	86.139999
21	16	94.610001
22	4	18.070000
22	21	22.040001
22	18	34.480000
22	13	35.259998
22	8	39.380001
22	17	42.360001
22	19	48.349998
22	2	55.029999
22	7	56.430000
22	6	56.590000
22	14	58.570000
22	3	66.029999
22	23	69.099998
22	25	78.480003
22	15	80.980003
22	9	92.529999
22	12	92.550003
22	5	95.930000
22	1	97.080002
22	16	102.269997
23	6	15.840000
23	15	16.360001
23	25	26.170000
23	9	28.070000
23	14	33.590000
23	18	38.230000
23	8	44.720001
23	24	46.730000
23	16	56.169998
23	13	59.361000
23	4	60.720001
23	11	62.000000
23	21	66.339996
23	22	68.779999
23	17	70.390999
23	3	74.050003
23	20	83.680000
23	2	85.180000
23	10	86.650002
23	1	86.690002
24	9	20.620001
24	11	28.280001
24	15	31.010000
24	25	34.419998
24	16	36.320000
24	10	41.439999
24	20	43.970001
24	23	47.040001
24	6	56.070000
24	14	75.959999
24	18	80.639999
24	1	89.489998
24	8	90.511002
24	3	91.250000
24	13	102.891998
24	21	104.269997
24	4	106.010002
24	22	111.110001
24	17	113.921997
24	12	117.790001
25	15	14.780000
