param:	TIME:	Ts	Te:=
1	0   108
2	108   216
3	216   324
4	324   432
5	432   540
;
param:	NODE:	r	st	WS	WE:=
0	0	0	0	540
1	303	3	29	357
2	1359	15	83	413
3	1341	15	53	375
4	909	10	55	388
5	1914	21	11	353
6	1407	16	51	381
7	1347	15	83	400
8	999	11	22	334
9	2058	23	72	411
10	921	10	33	370
11	1671	19	31	361
12	1914	21	18	371
13	396	4	66	377
14	741	8	47	387
15	720	8	38	378
16	1131	13	67	385
17	1017	11	84	427
18	990	11	81	408
19	2172	24	36	366
20	1518	17	85	410
21	867	10	18	355
22	873	10	34	359
23	516	6	64	374
24	2310	26	81	435
25	915	10	20	360
26	2400	27	13	352
27	753	8	66	380
28	1104	12	80	421
29	888	10	41	373
30	2169	24	38	378
31	387	4	74	395
32	2112	23	88	425
33	1833	20	40	388
34	939	10	51	374
35	960	11	88	421
36	1320	15	83	415
37	2205	24	77	420
38	1548	17	63	409
39	969	11	65	401
40	384	4	19	349
41	1338	15	39	377
42	1161	13	68	381
43	549	6	78	414
44	516	6	11	341
45	1509	17	20	339
46	2100	23	17	356
47	1851	21	26	376
48	1485	16	74	411
49	2034	23	37	362
50	987	11	69	398
;
param: VEHICLE:	Ch	Lh	Ph	ch:=
1	10000	150	2.2384e-005	2.66374
2	15000	200	1.79961e-005	2.66374
3	10000	150	2.2384e-005	2.66374
4	15000	200	1.79961e-005	2.66374
5	10000	150	2.2384e-005	2.66374
6	15000	200	1.79961e-005	2.66374
7	10000	150	2.2384e-005	2.66374
8	15000	200	1.79961e-005	2.66374
9	10000	150	2.2384e-005	2.66374
10	15000	200	1.79961e-005	2.66374
;
param q_real:=10;
param	nth:=20;
param	nth1:=50;
param:	ARC:	D:=
1	16	13.160000
1	38	15.910000
1	48	25.490000
1	27	25.680000
1	46	29.270000
1	5	45.090000
1	3	54.200001
1	33	61.369999
1	7	72.320000
1	35	72.941002
1	19	74.120003
1	24	83.089996
1	26	84.930000
1	18	86.400002
1	29	88.959999
1	23	90.900002
1	40	92.140999
1	9	95.239998
1	44	96.301003
1	17	100.460999
2	37	8.640000
2	36	8.690000
2	32	8.810000
2	11	11.400000
2	4	15.650000
2	43	18.410000
2	6	20.520000
2	41	22.950001
2	14	23.250000
2	10	24.150000
2	50	24.900000
2	28	25.860001
2	34	29.780001
2	42	30.709999
2	15	33.860001
2	30	35.549999
2	13	36.810001
2	20	37.000000
2	47	41.130001
2	44	54.130001
3	5	19.709999
3	35	22.760000
3	33	23.219999
3	7	25.820000
3	46	26.469999
3	19	31.920000
3	24	32.889999
3	40	40.549999
3	26	41.490002
3	16	42.310001
3	29	42.930000
3	44	44.799999
3	18	46.950001
3	9	49.500000
3	25	51.900002
3	38	51.930000
3	1	54.270000
3	45	57.230000
3	47	59.270000
3	8	59.590000
4	43	3.580000
4	10	9.320000
4	50	10.130000
4	11	11.960000
4	36	13.610000
4	32	14.030000
4	2	15.230000
4	34	16.559999
4	41	21.340000
4	37	23.870001
4	6	29.010000
4	14	31.360001
4	20	33.490002
4	42	35.639999
4	13	37.220001
4	28	40.950001
4	15	41.970001
4	30	49.389999
4	47	50.959999
4	39	57.110001
5	46	17.709999
5	3	19.740000
5	7	32.540001
5	16	33.041000
5	35	33.300999
5	19	34.509998
5	33	38.549999
5	38	42.660999
5	1	45.000999
5	26	45.439999
5	27	47.599998
5	18	47.799999
5	29	49.320000
5	40	52.500999
